review,rating
"Overall, this laptop stand does the job, but there’s definitely room for improvement. The hinges are a bit too loose, which affects the stability but after placing laptop  it doesn't slips out of position. The rubber tape is  attached but not good  as advertised . I think it will be gonna deatached out soonIf the hinges were tighter, this would easily be a 5-star product.",Positive
Product is good and functions nice. Rubber attached in laptop holding area and surface area keep laptop still and stagnant. Satisfied 😊,Positive
quality 105% best lageyo ani finishing pani dhirahi ramro xa mero laptop Acer swift go 14b OLED Model ko ma stand aali hight vayo jasle garda pura lod hinch ma parna gayo 14 inch ko laptop ko lagi aali thik lagen 14 inch vanda mathi ko laptop ko lagi yekdam best 👌  hunxa mero bichar ma maile tw return garnu vanda yeslai modify garerw use garne soch gare,Positive
"Well it works well . It's really good for gaming and studying . The main catch is it is the best for space management. Just to flex, I'm Elden lord 🥰",Positive
The product is exact as shown in the picture. Delivery was also very quick. It is a good product and is ergonomic as well.,Positive
it is better than expected has good weight and looks durable has good rubber paddings best at this price,Positive
Wonder full laptop stand it is fully made of metal which is durable for years . Recommended from my side you should purchase it,Positive
"it's really really nice product ,i like it, good material,fast delivery, affordable price , thank you 💐💐",Positive
"My laptop is 14 inch, and it fits well but rubber sticker was placed at wrong place at the bottom due to which it was slippery. I placed it at the right place and it is steady now. Anyway good product.",Positive
loved this one... is same as shown and works well... thank you daraz and seller... happy with the purchase.,Positive
"This product exceeded my expectations with its quality, reliability, and ease of use. Excellent value for money, highly recommend it to anyone seeking durability, efficiency, and satisfaction in daily use",Positive
I ordered 2 of them.1. One of them has this weird patch on it.2. Both of them are uneven.,Positive
good product price aunsar but height lock garni niskeko niskai huniraicha but worth it !,Positive
The stand is good at first I thought it was lose but when i put my laptop it seem strudy,Positive
excellent products and same as shown in the picture and thanks for this product daraz,Positive
product is good...at this price..price worthy...thank you daraz for this product..,Positive
"Ok quality, quite uneven footings and unstable until you put yr laptop",Positive
It’s been 2 years and I’m still using it. That means it is durable.,Positive
No problem with it so far..The product is sturdy and seems of good qualityI'd recommend it.,Positive
Nice one 😃😃😃 also fast delivery ko lagi dhanyabad 🙏🙏🙏,Positive
if extra some  features are added then it would be best.,Positive
it was awesome as expected thanks.for the good service,Positive
perfect....can buy it....majale support garxa laptop,Positive
"Just received, Great productBest value for money",Positive
Very good product and packaging. I recommend it.,Positive
it's fine. you can buy it without hesitation.,Positive
nice easy to use and helps to reduce overheat,Positive
Nice very nice nicest good very good goodest,Positive
Quite good as per price . And stable too .,Positive
Pokhara ma 1000 vanetiyo sasto mae payo,Positive
Nice product. Perfectly worked as expected 👍️Satisfied with the product and service 😀,Positive
"does it's job, what more can you say",Positive
It was good product. Thanks seller.,Positive
"its amazing,real product and away from my imagination😍",Positive
